cnpj,razao_social,origem,nota,ativo,prioridade,aliases,site,url_produtos,url_blog,url_carreiras,gupy_slug,linkedin_url
19307785000178,BRAZA BANK S.A. BANCO DE CÂMBIO,INCUMBENTE,BB,0,3,Braza Bank | Braza Bank S.A. Banco De Cambio,https://brazabank.com.br,,,,,
00000208000100,BRB - BANCO DE BRASILIA S.A.,INCUMBENTE,B,0,3,Brb - Banco De Brasilia,https://brb.com.br,,,,,
33850686000169,BRB - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA,INCUMBENTE,B,0,3,,https://brb.com.br,,,,,
16944141000100,BROKER BRASIL CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,BB,0,3,Broker Brasil,https://brokerbrasilcambio.com.br,,,,,
17904906000133,BRX SOCIEDADE CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,B,0,3,Brx Cambio | Brx Sociedade,https://brxcambio.com.br,,,,,
73622748000108,BT CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,B,0,3,,https://btcorretora.com.br,,,,,
29650082000100,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,INCUMBENTE,B,0,3,Btg Pactual Asset Management,https://btgpactual.com,,,,,
43815158000122,BTG PACTUAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,BB,0,3,Est Unif | Btg Pactual,https://btgpactual.com,,,,,
59281253000123,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,INCUMBENTE,BB,0,3,Sistema | Btg Pactual Servicos Financeiros,https://btgpactual.com,,,,,
32345784000186,C6 CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,BB,0,3,,https://c6bank.com,,,,,
42040639000140,CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,B,0,3,Caixa Dtvm | Caixa,https://caixa.gov.br,,,,,
00360305000104,CAIXA ECONOMICA FEDERAL,INCUMBENTE,BB,0,3,Cef Matriz | Caixa Economica Federal,,,,,,
62237649000188,CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,INCUMBENTE,B,0,3,Carol Dtvm | Carol,https://caroldtvm.com.br,,,,,
47215387000167,CATÁLISE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,INCUMBENTE,B,0,3,Catalise,https://cataliseinvestimentos.com,,,,,
07554076000108,CGD INVESTIMENTOS CORRETORA DE VALORES E CÂMBIO S.A.,INCUMBENTE,B,0,3,Cgd Investimentos Corretora De Valores E Cambio,https://bcgbrasil.com.br,,,,,
33868597000140,CITIBANK DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,INCUMBENTE,B,0,3,Citibank,https://citi.com,,,,,
33042953000171,CITIBANK N.A.,INCUMBENTE,B,0,3,Citibank N.A. - Filial Brasileira | Citibank N.A,,,,,,
33709114000164,"CITIGROUP GLOBAL MARKETS BRASIL, CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.",INCUMBENTE,B,0,3,Citigroup Global Markets Brasil Titulos E Valores Mobiliarios,https://citi.com,,,,,
02685483000130,"CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA",INCUMBENTE,B,0,3,Cm Capital Markets Titulos E Valores Mobiliarios,https://cmcapital.com.br,,,,,
09512542000118,CODEPE CORRETORA DE VALORES E CÂMBIO S.A.,INCUMBENTE,BB,0,3,Codepe | Codepe Corretora De Valores E Cambio,https://codepe.com.br,,,,,
00336036000140,COINVALORES CORRETORA DE CÂMBIO E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,BB,0,3,Coinvalores | Coinvalores E Valores Mobiliarios,https://coinvalores.com.br,,,,,
00460065000110,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS,INCUMBENTE,B,0,3,Coluna,https://colutadtvm.com.br,,,,,
04913129000141,CONFIDENCE SOCIEDADE CORRETORA DE CAMBIO S.A.,INCUMBENTE,BB,0,3,Confidence Sociedade,https://confidencecambio.com.br,,,,,
15168152000175,CONSEGTUR CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,B,0,3,Consegtur Corretora | Consegtur,https://consegtur.com.br,,,,,
80202872000171,CORREPARTI SOCIEDADE CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,B,0,3,Correparti | Correparti Sociedade,https://correparti.com.br,,,,,
15761217000191,CORRETORA DE CÂMBIO AÇORIANA LIMITADA.,INCUMBENTE,BB,0,3,Acoriana Limitada,https://atualholding.com,,,,,
92858380000118,CORRETORA GERAL DE VALORES E CÂMBIO LTDA,INCUMBENTE,BB,0,3,Geral Investimentos | Corretora Geral De Valores E Cambio,,,,,,
50286774000107,CV INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Cv Investimentos,https://cvpar.com.br,,,,,
65645137000149,DASCAM SOCIEDADE CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,B,0,3,Dascam Sociedade,https://dascam.com.br,,,,,
49241570000162,DAYCOVAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Daycoval Ctvm | Daycoval,,,,,,
43818780000194,DAYCOVAL LEASING - BANCO MÚLTIPLO S.A.,INCUMBENTE,B,0,3,Daycoval Leasing | Daycoval Leasing - Banco Multiplo,https://bancodaycoval.com.br,,,,,
77162881000171,DEBONI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,INCUMBENTE,B,0,3,Deboni,,,,,,
62331228000111,DEUTSCHE BANK S.A. - BANCO ALEMAO,INCUMBENTE,B,0,3,Deutsche Bank | Deutsche Bank S.A. - Banco Alemao,https://list.db.com,,,,,
23511655000120,DEUTSCHE SPARKASSEN LEASING DO BRASIL BANCO MÚLTIPLO S.A.,INCUMBENTE,B,0,3,Banco Deutsche Leasing | Deutsche Sparkassen Leasing Do Brasil Banco Multiplo,https://deutsche-leasing.com.br,,,,,
33851064000155,DILLON S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,INCUMBENTE,B,0,3,Dillon,https://dillon.com.br,,,,,
76641497000199,DOURADA CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,B,0,3,Dourada,https://dourada.com.br,,,,,
89784367000157,EBADIVAL - E. BAGGIO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Ebadival | Ebadival - E. Baggio,,,,,,
94968518000167,EFX CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,BB,0,3,,https://decyseo.com.br,,,,,
47965438000178,EQI INVESTIMENTOS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,BB,0,3,Eqi Investimentos,https://euqueroinvestir.com,,,,,
34190991000134,"EUROINVEST S.A. CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS",INCUMBENTE,B,0,3,Euroinvest Cctvm | Euroinvest S.A. Titulos E Valores Mobiliarios,https://eurocctvm.com.br,,,,,
19086249000190,EXECUTIVE SOCIEDADE CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,BB,0,3,Executive Sociedade,,,,,,
73302408000191,EXIM SOCIEDADE CORRETORA DE CÂMBIO LTDA,INCUMBENTE,B,0,3,Exim Sociedade,,,,,,
08673569000120,F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,D'Gold | F.D'Gold,https://dgold.com.br,,,,,
32648370000126,FAIR SOCIEDADE CORRETORA DE CÂMBIO S.A.,INCUMBENTE,B,0,3,Fair | Fair Sociedade,,,,,,
37678915000160,FIDD DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Fidd,https://fiddgroup.com,,,,,
10280601000159,FIDUCIAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Fiducial Dtvm | Fiducial,https://fiducial.com.br,,,,,
03317692000194,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,B,0,3,Finaxis,https://finaxis.com.br,,,,,
36266751000100,FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Finvest,https://finvestdtvm.com.br,,,,,
40353377000149,FOURTRADE CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,B,0,3,Fourtrade,https://fourtrade.com.br,,,,,
55428859000198,FREEX SOCIEDADE CORRETORA DE CÂMBIO S.A.,INCUMBENTE,BB,0,3,Freex Corretora | Freex Sociedade,https://freexcambio.com.br,,,,,
28650236000192,GALAPAGOS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,B,0,3,Glpg Dtvm | Galapagos Capital,https://glpgcapital.com,,,,,
10749264000104,GDC PARTNERS SERVIÇOS FIDUCIÁRIOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Gdc Partners Servicos Fiduciarios,https://dcasf.com.br,,,,,
05816451000115,"GENIAL INSTITUCIONAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.",INCUMBENTE,BB,0,3,Brasil Plural | Genial Institucional Titulos E Valores Mobiliarios,https://genial.com.vc,,,,,
27652684000162,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,INCUMBENTE,BB,0,3,Genial Investimentos Corretora De Valores Mobiliarios,https://genial.com.vc,,,,,
10853017000145,GET MONEY SOCIEDADE CORRETORA DE CÂMBIO S.A.,INCUMBENTE,B,0,3,Get Money | Get Money Sociedade,https://getmoney.com.br,,,,,
47227569000158,GLOBAL INVESTMENT SERVICES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Global Investment Services,https://mognodtvm.com,,,,,
04332281000130,GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.,INCUMBENTE,BB,0,3,Goldman Sachs Do Brasil Banco Multiplo,https://gs.com,,,,,
09605581000160,GOLDMAN SACHS DO BRASIL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,BB,0,3,Goldman Sachs Do Brasil,https://gs.com,,,,,
23010182000187,GOOD SOCIEDADE CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,B,0,3,Good Sociedade,,,,,,
37800856000151,GREEN ALTERNATIVE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,B,0,3,Green Alternative Investments,https://green.com.ai,,,,,
24074692000180,GUITTA CORRETORA DE CAMBIO LTDA.,INCUMBENTE,B,0,3,Guitta,,,,,,
57707777000108,GURU CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,BB,0,3,Guru,https://guru.com.vc,,,,,
17312083000157,H H PICCHIONI S/A CORRETORA DE CAMBIO E VALORES MOBILIARIOS,INCUMBENTE,B,0,3,H H Picchioni S/A E Valores Mobiliarios,https://picchioni.com.br,,,,,
34111187000112,HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.,INCUMBENTE,B,0,3,Haitong Banco De Investimento Do Brasil,https://haitongib.com.br,,,,,
11406965000103,HAITONG DO BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,B,0,3,Haitong Do Brasil,https://haitongib.com.br,,,,,
33894445000111,HAITONG SECURITIES DO BRASIL CORRETORA DE CÂMBIO E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,B,0,3,Haitong Securities Do Brasil E Valores Mobiliarios,https://haitongib.com.br,,,,,
07253654000176,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,BB,0,3,Hedge Investments,https://hedgeinvest.com.br,,,,,
35470647000161,HEDGEPOINT GLOBAL MARKETS DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Hedgepoint Global Markets,https://hedgepointglobal.com,,,,,
39669186000101,HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Hemera Dtvm | Hemera,https://hemeradtvm.com.br,,,,,
09105360000122,ICAP DO BRASIL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,BB,0,3,Icap Do Brasil,https://br.icap.com,,,,,
17453575000162,ICBC DO BRASIL BANCO MÚLTIPLO S.A.,INCUMBENTE,B,0,3,Icbc Brasil | Icbc Do Brasil Banco Multiplo,https://br.icbc.com.cn,,,,,
16695922000109,ID CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,BB,0,3,Id Servicos Financeiros,,,,,,
31749596000150,IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,INCUMBENTE,B,0,3,Ideal,,,,,,
00999403000196,INDUSTRIAL DO BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Industrial Do Brasil,,,,,,
34978626000199,INTEGRAL ACCESS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,INCUMBENTE,B,0,3,Integral Access,https://integralinvest.com.br,,,,,
34265629000185,INTERCAM CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,B,0,3,Intercam,,,,,,
55230916000120,INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO,INCUMBENTE,B,0,3,Intesa Sanpaolo Brasil S.A. - Banco Multiplo,https://intesasanpaolo.com,,,,,
02992317000187,INTEX BANK BANCO DE CÂMBIO S.A.,INCUMBENTE,BB,0,3,Intex Bank Banco De Cambio,https://trevisocc.com.br,,,,,
15489568000195,INTRA INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,INCUMBENTE,B,0,3,Intra Investimentos,https://intrainvestimentos.com.br,,,,,
62418140000131,INTRAG DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,INCUMBENTE,BB,0,3,Intrag,https://itau-unibanco.com.br,,,,,
17508380000172,INVEST SOCIEDADE CORRETORA DE CÂMBIO LTDA.,INCUMBENTE,B,0,3,Invest Sociedade,https://investcambio.com.br,,,,,
60872504000123,ITAÚ UNIBANCO HOLDING S.A.,INCUMBENTE,BB,0,3,Itau Unibanco Holding,https://itau-unibanco.com.br,,,,,
